pontarlier	NOM	pontarlier
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.14	NUM	@card@
.	SENT	.
69	NUM	@card@
labergement-sainte-marie	NOM	labergement-sainte-marie
:	PUN	:
fonderie	NOM	fonderie
de	PRP	de
cloches	NOM	cloche
obertino	NOM	obertino
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
-	PUN	-
maison	NOM	maison
de	PRP	de
la	DET:ART	le
réserve	NOM	réserve
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
les	DET:ART	le
fourgs	NOM	fourgs
:	PUN	:
«	PUN:cit	«
couleurs-sports	NOM	couleurs-sports
»,	ADJ	»,
parcours	VER:pres	parcourir
aventure	NOM	aventure
d'	PRP	de
arbre	NOM	arbre
en	PRP	en
arbre	NOM	arbre
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.56	NUM	@card@
.	SENT	.
34	NUM	@card@
les	DET:ART	le
granges-sainte-marie	NOM	granges-sainte-marie
:	PUN	:
le	DET:ART	le
«	PUN:cit	«
rucher	NOM	rucher
des	PRP:det	du
2	NUM	@card@
lacs	NOM	lac|lacs
»,	ADJ	»,
visite	NOM	visite
de	PRP	de
la	DET:ART	le
miellerie	NOM	miellerie
,	PUN	,
animation	NOM	animation
fabrication	NOM	fabrication
de	PRP	de
bougies	NOM	bougie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.31	NUM	@card@
.	SENT	.
06	NUM	@card@
levier	NOM	levier
:	PUN	:
musée	NOM	musée
du	PRP:det	du
cheval	NOM	cheval
comtois	ADJ	comtois
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
malbuisson	NOM	malbuisson
:	PUN	:
découverte	VER:pper	découvrir
du	PRP:det	du
poney	NOM	poney
,	PUN	,
promenade	NOM	promenade
en	PRP	en
calèche	NOM	calèche
,	PUN	,
«	PUN:cit	«
ranch	NOM	ranch
de	PRP	de
la	DET:ART	le
seignette	NOM	seignette
»,	ADJ	»,
au	PRP:det	au
vézenay	NOM	vézenay
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.89	NUM	@card@
.	SENT	.
45.85	NUM	@card@
.	SENT	.
28	NUM	@card@
métabief	NOM	métabief
:	PUN	:
leçons	NOM	leçon
d'	PRP	de
équitation	NOM	équitation
,	PUN	,
stages	NOM	stage
,	PUN	,
promenades	NOM	promenade
,	PUN	,
manège	NOM	manège
du	PRP:det	du
mont-d'or	NOM	mont-d'or
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.23	NUM	@card@
.	SENT	.
61	NUM	@card@
-	PUN	-
«	PUN:cit	«
métabief-aventure	NOM	métabief-aventure
»,	ADJ	»,
parcours	VER:pres	parcourir
aventure	NOM	aventure
d'	PRP	de
arbre	NOM	arbre
en	PRP	en
arbre	NOM	arbre
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.20	NUM	@card@
.	SENT	.
14	NUM	@card@
rochejean	NOM	rochejean
:	PUN	:
location	NOM	location
de	PRP	de
poneys	NOM	poney
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
batailleuse	NOM	batailleur
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.91	NUM	@card@
.	SENT	.
84	NUM	@card@
-	PUN	-
exposition	NOM	exposition
de	PRP	de
gravure	NOM	gravure
sur	PRP	sur
miroir	NOM	miroir
,	PUN	,
bijoux	NOM	bijou
fantaisie	NOM	fantaisie
,	PUN	,
explications	NOM	explication
et	KON	et
démonstrations	NOM	démonstration
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
meix	NOM	meix
loisirs	NOM	loisir
»,	ADJ	»,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.92	NUM	@card@
.	SENT	.
08	NUM	@card@
